1736032962.622440 server started (91794): version 3.5a, socket /tmp/tmux-1000/default, protocol 8
1736032962.622480 on Linux 6.6.68 #1-NixOS SMP PREEMPT_DYNAMIC Fri Dec 27 12:58:58 UTC 2024
1736032962.622491 using libevent 2.1.12-stable poll
1736032962.622504 using utf8proc 2.9.0
1736032962.622508 using ncurses 6.4 20221231
1736032962.644301 cmd_parse_build_commands 0:1: -X
1736032962.644301 cmd_parse_build_commands 0:2: next-word-end
1736032962.644303 args_parse_flags: next -X
1736032962.644304 args_parse_flags: -X
1736032962.644305 args_parse_flags: next next-word-end
1736032962.644306 args_parse: flags end at 2 of 3
1736032962.644307 args_parse: 2 = next-word-end (type STRING)
1736032962.644308 cmd_parse_build_commands: send-keys -X next-word-end
1736032962.644309 args_parse_flags: next -Tcopy-mode-vi
1736032962.644310 args_parse_flag_argument: -T = copy-mode-vi
1736032962.644311 args_parse_flags: next e
1736032962.644312 args_parse: flags end at 2 of 4
1736032962.644314 args_parse: 2 = e (type STRING)
1736032962.644316 args_parse: 3 = send-keys -X next-word-end (type COMMANDS)
1736032962.644319 cmd_parse_build_commands: bind-key -T copy-mode-vi e { send-keys -X next-word-end }
1736032962.644321 cmdq_get_command: [bind-key/0x2c215f00] group 2408
1736032962.644322 cmdq_append <global>: [bind-key/0x2c215f00]
1736032962.644323 yylex_token: end at WS
1736032962.644323 yylex_token: bind
1736032962.644324 yylex_token: end at WS
1736032962.644325 yylex_token: -Tcopy-mode-vi
1736032962.644326 yylex_token: end at WS
1736032962.644327 yylex_token: f
1736032962.644328 yylex_token: end at WS
1736032962.644329 yylex_token: command-prompt
1736032962.644330 yylex_token: end at WS
1736032962.644331 yylex_token: -1p(jump forward)
1736032962.644332 yylex_token: end at WS
1736032962.644332 yylex_token: send
1736032962.644333 yylex_token: end at WS
1736032962.644334 yylex_token: -X
1736032962.644335 yylex_token: end at WS
1736032962.644336 yylex_token: jump-forward
1736032962.644337 yylex_token: end at WS
1736032962.644338 yylex_token: %%
1736032962.644339 cmd_parse_build_commands 0:0: bind
1736032962.644340 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1736032962.644341 cmd_parse_build_commands 0:2: f
1736032962.644342 cmd_parse_build_commands 0:3 0:0: command-prompt
1736032962.644343 cmd_parse_build_commands 0:3 0:1: -1p(jump forward)
1736032962.644344 cmd_parse_build_commands 0:3 0:2 0:0: send
1736032962.644345 cmd_parse_build_commands 0:3 0:2 0:1: -X
1736032962.644346 cmd_parse_build_commands 0:3 0:2 0:2: jump-forward
1736032962.644347 cmd_parse_build_commands 0:3 0:2 0:3: %%
1736032962.644352 cmd_parse_build_commands 0:0: command-prompt
1736032962.644353 cmd_parse_build_commands 0:1: -1p(jump forward)
1736032962.644354 cmd_parse_build_commands 0:2 0:0: send
1736032962.644355 cmd_parse_build_commands 0:2 0:1: -X
1736032962.644356 cmd_parse_build_commands 0:2 0:2: jump-forward
1736032962.644357 cmd_parse_build_commands 0:2 0:3: %%
1736032962.644358 cmd_parse_build_commands 0:0: send
1736032962.644359 cmd_parse_build_commands 0:1: -X
1736032962.644360 cmd_parse_build_commands 0:2: jump-forward
1736032962.644361 cmd_parse_build_commands 0:3: %%
1736032962.644363 args_parse_flags: next -X
1736032962.644363 args_parse_flags: -X
1736032962.644364 args_parse_flags: next jump-forward
1736032962.644365 args_parse: flags end at 2 of 4
1736032962.644366 args_parse: 2 = jump-forward (type STRING)
1736032962.644367 args_parse: 3 = %% (type STRING)
1736032962.644369 cmd_parse_build_commands: send-keys -X jump-forward "%%"
1736032962.644370 args_parse_flags: next -1p(jump forward)
1736032962.644371 args_parse_flags: -1
1736032962.644372 args_parse_flag_argument: -p = (jump forward)
1736032962.644373 args_parse: flags end at 2 of 3
1736032962.644375 args_parse: 2 = send-keys -X jump-forward "%%" (type COMMANDS)
1736032962.644378 cmd_parse_build_commands: command-prompt -1 -p "(jump forward)" { send-keys -X jump-forward "%%" }
1736032962.644379 args_parse_flags: next -Tcopy-mode-vi
1736032962.644380 args_parse_flag_argument: -T = copy-mode-vi
1736032962.644381 args_parse_flags: next f
1736032962.644382 args_parse: flags end at 2 of 4
1736032962.644382 args_parse: 2 = f (type STRING)
1736032962.644385 args_parse: 3 = command-prompt -1 -p "(jump forward)" { send-keys -X jump-forward "%%" } (type COMMANDS)
1736032962.644390 cmd_parse_build_commands: bind-key -T copy-mode-vi f { command-prompt -1 -p "(jump forward)" { send-keys -X jump-forward "%%" } }
1736032962.644391 cmdq_get_command: [bind-key/0x2c2168e0] group 2416
1736032962.644392 cmdq_append <global>: [bind-key/0x2c2168e0]
1736032962.644393 yylex_token: end at WS
1736032962.644394 yylex_token: bind
1736032962.644395 yylex_token: end at WS
1736032962.644396 yylex_token: -Tcopy-mode-vi
1736032962.644397 yylex_token: end at WS
1736032962.644397 yylex_token: g
1736032962.644398 yylex_token: end at WS
1736032962.644399 yylex_token: send
1736032962.644400 yylex_token: end at WS
1736032962.644401 yylex_token: -X
1736032962.644402 yylex_token: end at WS
1736032962.644405 yylex_token: history-top
1736032962.644407 cmd_parse_build_commands 0:0: bind
1736032962.644407 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1736032962.644408 cmd_parse_build_commands 0:2: g
1736032962.644409 cmd_parse_build_commands 0:3 0:0: send
1736032962.644410 cmd_parse_build_commands 0:3 0:1: -X
1736032962.644411 cmd_parse_build_commands 0:3 0:2: history-top
1736032962.644413 cmd_parse_build_commands 0:0: send
1736032962.644414 cmd_parse_build_commands 0:1: -X
1736032962.644414 cmd_parse_build_commands 0:2: history-top
1736032962.644416 args_parse_flags: next -X
1736032962.644417 args_parse_flags: -X
1736032962.644418 args_parse_flags: next history-top
1736032962.644419 args_parse: flags end at 2 of 3
1736032962.644420 args_parse: 2 = history-top (type STRING)
1736032962.644421 cmd_parse_build_commands: send-keys -X history-top
1736032962.644422 args_parse_flags: next -Tcopy-mode-vi
1736032962.644423 args_parse_flag_argument: -T = copy-mode-vi
1736032962.644424 args_parse_flags: next g
1736032962.644425 args_parse: flags end at 2 of 4
1736032962.644426 args_parse: 2 = g (type STRING)
1736032962.644428 args_parse: 3 = send-keys -X history-top (type COMMANDS)
1736032962.644430 cmd_parse_build_commands: bind-key -T copy-mode-vi g { send-keys -X history-top }
1736032962.644432 cmdq_get_command: [bind-key/0x2c21d960] group 2428
1736032962.644433 cmdq_append <global>: [bind-key/0x2c21d960]
1736032962.644434 yylex_token: end at WS
1736032962.644434 yylex_token: bind
1736032962.644435 yylex_token: end at WS
1736032962.644436 yylex_token: -Tcopy-mode-vi
1736032962.644437 yylex_token: end at WS
1736032962.644438 yylex_token: h
1736032962.644439 yylex_token: end at WS
1736032962.644439 yylex_token: send
1736032962.644440 yylex_token: end at WS
1736032962.644441 yylex_token: -X
1736032962.644442 yylex_token: end at WS
1736032962.644443 yylex_token: cursor-left
1736032962.644444 cmd_parse_build_commands 0:0: bind
1736032962.644445 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1736032962.644446 cmd_parse_build_commands 0:2: h
1736032962.644447 cmd_parse_build_commands 0:3 0:0: send
1736032962.644448 cmd_parse_build_commands 0:3 0:1: -X
1736032962.644449 cmd_parse_build_commands 0:3 0:2: cursor-left
1736032962.644450 cmd_parse_build_commands 0:0: send
1736032962.644451 cmd_parse_build_commands 0:1: -X
1736032962.644452 cmd_parse_build_commands 0:2: cursor-left
1736032962.644454 args_parse_flags: next -X
1736032962.644455 args_parse_flags: -X
1736032962.644456 args_parse_flags: next cursor-left
1736032962.644457 args_parse: flags end at 2 of 3
1736032962.644458 args_parse: 2 = cursor-left (type STRING)
1736032962.644460 cmd_parse_build_commands: send-keys -X cursor-left
1736032962.644461 args_parse_flags: next -Tcopy-mode-vi
1736032962.644462 args_parse_flag_argument: -T = copy-mode-vi
1736032962.644463 args_parse_flags: next h
1736032962.644463 args_parse: flags end at 2 of 4
1736032962.644464 args_parse: 2 = h (type STRING)
1736032962.644466 args_parse: 3 = send-keys -X cursor-left (type COMMANDS)
1736032962.644469 cmd_parse_build_commands: bind-key -T copy-mode-vi h { send-keys -X cursor-left }
1736032962.644472 cmdq_get_command: [bind-key/0x2c220e40] group 2436
1736032962.644473 cmdq_append <global>: [bind-key/0x2c220e40]
1736032962.644474 yylex_token: end at WS
1736032962.644475 yylex_token: bind
1736032962.644476 yylex_token: end at WS
1736032962.644477 yylex_token: -Tcopy-mode-vi
1736032962.644478 yylex_token: end at WS
1736032962.644478 yylex_token: j
1736032962.644479 yylex_token: end at WS
1736032962.644480 yylex_token: send
1736032962.644481 yylex_token: end at WS
1736032962.644482 yylex_token: -X
1736032962.644483 yylex_token: end at WS
1736032962.644483 yylex_token: cursor-down
1736032962.644485 cmd_parse_build_commands 0:0: bind
1736032962.644486 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1736032962.644487 cmd_parse_build_commands 0:2: j
1736032962.644488 cmd_parse_build_commands 0:3 0:0: send
1736032962.644489 cmd_parse_build_commands 0:3 0:1: -X
1736032962.644490 cmd_parse_build_commands 0:3 0:2: cursor-down
1736032962.644492 cmd_parse_build_commands 0:0: send
1736032962.644493 cmd_parse_build_commands 0:1: -X
1736032962.644494 cmd_parse_build_commands 0:2: cursor-down
1736032962.644496 args_parse_flags: next -X
1736032962.644497 args_parse_flags: -X
1736032962.644498 args_parse_flags: next cursor-down
1736032962.644499 args_parse: flags end at 2 of 3
1736032962.644499 args_parse: 2 = cursor-down (type STRING)
1736032962.644501 cmd_parse_build_commands: send-keys -X cursor-down
1736032962.644502 args_parse_flags: next -Tcopy-mode-vi
1736032962.644503 args_parse_flag_argument: -T = copy-mode-vi
1736032962.644504 args_parse_flags: next j
1736032962.644505 args_parse: flags end at 2 of 4
1736032962.644506 args_parse: 2 = j (type STRING)
1736032962.644507 args_parse: 3 = send-keys -X cursor-down (type COMMANDS)
1736032962.644510 cmd_parse_build_commands: bind-key -T copy-mode-vi j { send-keys -X cursor-down }
1736032962.644511 cmdq_get_command: [bind-key/0x2c21d5f0] group 2444
1736032962.644512 cmdq_append <global>: [bind-key/0x2c21d5f0]
1736032962.644513 yylex_token: end at WS
1736032962.644514 yylex_token: bind
1736032962.644515 yylex_token: end at WS
1736032962.644516 yylex_token: -Tcopy-mode-vi
1736032962.644517 yylex_token: end at WS
1736032962.644517 yylex_token: k
1736032962.644518 yylex_token: end at WS
1736032962.644519 yylex_token: send
1736032962.644520 yylex_token: end at WS
1736032962.644521 yylex_token: -X
1736032962.644522 yylex_token: end at WS
1736032962.644522 yylex_token: cursor-up
1736032962.644524 cmd_parse_build_commands 0:0: bind
1736032962.644525 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1736032962.644525 cmd_parse_build_commands 0:2: k
1736032962.644526 cmd_parse_build_commands 0:3 0:0: send
1736032962.644527 cmd_parse_build_commands 0:3 0:1: -X
1736032962.644528 cmd_parse_build_commands 0:3 0:2: cursor-up
1736032962.644530 cmd_parse_build_commands 0:0: send
1736032962.644530 cmd_parse_build_commands 0:1: -X
1736032962.644531 cmd_parse_build_commands 0:2: cursor-up
1736032962.644533 args_parse_flags: next -X
1736032962.644534 args_parse_flags: -X
1736032962.644534 args_parse_flags: next cursor-up
1736032962.644535 args_parse: flags end at 2 of 3
1736032962.644536 args_parse: 2 = cursor-up (type STRING)
1736032962.644538 cmd_parse_build_commands: send-keys -X cursor-up
1736032962.644539 args_parse_flags: next -Tcopy-mode-vi
1736032962.644540 args_parse_flag_argument: -T = copy-mode-vi
1736032962.644541 args_parse_flags: next k
1736032962.644542 args_parse: flags end at 2 of 4
1736032962.644543 args_parse: 2 = k (type STRING)
1736032962.644544 args_parse: 3 = send-keys -X cursor-up (type COMMANDS)
1736032962.644547 cmd_parse_build_commands: bind-key -T copy-mode-vi k { send-keys -X cursor-up }
1736032962.644548 cmdq_get_command: [bind-key/0x2c217610] group 2452
1736032962.644549 cmdq_append <global>: [bind-key/0x2c217610]
1736032962.644550 yylex_token: end at WS
1736032962.644551 yylex_token: bind
1736032962.644552 yylex_token: end at WS
1736032962.644553 yylex_token: -Tcopy-mode-vi
1736032962.644554 yylex_token: end at WS
1736032962.644554 yylex_token: z
1736032962.644555 yylex_token: end at WS
1736032962.644556 yylex_token: send
1736032962.644557 yylex_token: end at WS
1736032962.644558 yylex_token: -X
1736032962.644559 yylex_token: end at WS
1736032962.644560 yylex_token: scroll-middle
1736032962.644561 cmd_parse_build_commands 0:0: bind
1736032962.644562 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1736032962.644563 cmd_parse_build_commands 0:2: z
1736032962.644565 cmd_parse_build_commands 0:3 0:0: send
1736032962.644566 cmd_parse_build_commands 0:3 0:1: -X
1736032962.644567 cmd_parse_build_commands 0:3 0:2: scroll-middle
1736032962.644568 cmd_parse_build_commands 0:0: send
1736032962.644569 cmd_parse_build_commands 0:1: -X
1736032962.644570 cmd_parse_build_commands 0:2: scroll-middle
1736032962.644572 args_parse_flags: next -X
1736032962.644573 args_parse_flags: -X
1736032962.644573 args_parse_flags: next scroll-middle
1736032962.644574 args_parse: flags end at 2 of 3
1736032962.644575 args_parse: 2 = scroll-middle (type STRING)
1736032962.644579 cmd_parse_build_commands: send-keys -X scroll-middle
1736032962.644580 args_parse_flags: next -Tcopy-mode-vi
1736032962.644581 args_parse_flag_argument: -T = copy-mode-vi
1736032962.644582 args_parse_flags: next z
1736032962.644583 args_parse: flags end at 2 of 4
1736032962.644584 args_parse: 2 = z (type STRING)
1736032962.644585 args_parse: 3 = send-keys -X scroll-middle (type COMMANDS)
1736032962.644597 cmd_parse_build_commands: bind-key -T copy-mode-vi z { send-keys -X scroll-middle }
1736032962.644598 cmdq_get_command: [bind-key/0x2c220fa0] group 2460
1736032962.644599 cmdq_append <global>: [bind-key/0x2c220fa0]
1736032962.644600 yylex_token: end at WS
1736032962.644601 yylex_token: bind
1736032962.644602 yylex_token: end at WS
1736032962.644603 yylex_token: -Tcopy-mode-vi
1736032962.644604 yylex_token: end at WS
1736032962.644604 yylex_token: l
1736032962.644605 yylex_token: end at WS
1736032962.644606 yylex_token: send
1736032962.644607 yylex_token: end at WS
1736032962.644608 yylex_token: -X
1736032962.644609 yylex_token: end at WS
1736032962.644610 yylex_token: cursor-right
1736032962.644611 cmd_parse_build_commands 0:0: bind
1736032962.644612 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1736032962.644613 cmd_parse_build_commands 0:2: l
1736032962.644614 cmd_parse_build_commands 0:3 0:0: send
1736032962.644615 cmd_parse_build_commands 0:3 0:1: -X
1736032962.644616 cmd_parse_build_commands 0:3 0:2: cursor-right
1736032962.644617 cmd_parse_build_commands 0:0: send
1736032962.644618 cmd_parse_build_commands 0:1: -X
1736032962.644619 cmd_parse_build_commands 0:2: cursor-right
1736032962.644621 args_parse_flags: next -X
1736032962.644621 args_parse_flags: -X
1736032962.644622 args_parse_flags: next cursor-right
1736032962.644623 args_parse: flags end at 2 of 3
1736032962.644624 args_parse: 2 = cursor-right (type STRING)
1736032962.644626 cmd_parse_build_commands: send-keys -X cursor-right
1736032962.644627 args_parse_flags: next -Tcopy-mode-vi
1736032962.644628 args_parse_flag_argument: -T = copy-mode-vi
1736032962.644629 args_parse_flags: next l
1736032962.644630 args_parse: flags end at 2 of 4
1736032962.644631 args_parse: 2 = l (type STRING)
1736032962.644632 args_parse: 3 = send-keys -X cursor-right (type COMMANDS)
1736032962.644641 cmd_parse_build_commands: bind-key -T copy-mode-vi l { send-keys -X cursor-right }
1736032962.644645 cmdq_get_command: [bind-key/0x2c221100] group 2468
1736032962.644646 cmdq_append <global>: [bind-key/0x2c221100]
1736032962.644647 yylex_token: end at WS
1736032962.644647 yylex_token: bind
1736032962.644649 yylex_token: end at WS
1736032962.644649 yylex_token: -Tcopy-mode-vi
1736032962.644650 yylex_token: end at WS
1736032962.644651 yylex_token: n
1736032962.644652 yylex_token: end at WS
1736032962.644653 yylex_token: send
1736032962.644654 yylex_token: end at WS
1736032962.644654 yylex_token: -X
1736032962.644655 yylex_token: end at WS
1736032962.644656 yylex_token: search-again
1736032962.644657 cmd_parse_build_commands 0:0: bind
1736032962.644658 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1736032962.644659 cmd_parse_build_commands 0:2: n
1736032962.644660 cmd_parse_build_commands 0:3 0:0: send
1736032962.644661 cmd_parse_build_commands 0:3 0:1: -X
1736032962.644662 cmd_parse_build_commands 0:3 0:2: search-again
1736032962.644663 cmd_parse_build_commands 0:0: send
1736032962.644664 cmd_parse_build_commands 0:1: -X
1736032962.644665 cmd_parse_build_commands 0:2: search-again
1736032962.644667 args_parse_flags: next -X
1736032962.644668 args_parse_flags: -X
1736032962.644669 args_parse_flags: next search-again
1736032962.644670 args_parse: flags end at 2 of 3
1736032962.644671 args_parse: 2 = search-again (type STRING)
1736032962.644673 cmd_parse_build_commands: send-keys -X search-again
1736032962.644673 args_parse_flags: next -Tcopy-mode-vi
1736032962.644674 args_parse_flag_argument: -T = copy-mode-vi
1736032962.644675 args_parse_flags: next n
1736032962.644676 args_parse: flags end at 2 of 4
1736032962.644677 args_parse: 2 = n (type STRING)
1736032962.644682 args_parse: 3 = send-keys -X search-again (type COMMANDS)
1736032962.644685 cmd_parse_build_commands: bind-key -T copy-mode-vi n { send-keys -X search-again }
1736032962.644687 cmdq_get_command: [bind-key/0x2c21b6a0] group 2476
1736032962.644688 cmdq_append <global>: [bind-key/0x2c21b6a0]
1736032962.644689 yylex_token: end at WS
1736032962.644690 yylex_token: bind
1736032962.644691 yylex_token: end at WS
1736032962.644692 yylex_token: -Tcopy-mode-vi
1736032962.644693 yylex_token: end at WS
1736032962.644693 yylex_token: o
1736032962.644694 yylex_token: end at WS
1736032962.644695 yylex_token: send
1736032962.644696 yylex_token: end at WS
1736032962.644697 yylex_token: -X
1736032962.644698 yylex_token: end at WS
1736032962.644699 yylex_token: other-end
1736032962.644700 cmd_parse_build_commands 0:0: bind
1736032962.644701 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1736032962.644702 cmd_parse_build_commands 0:2: o
1736032962.644703 cmd_parse_build_commands 0:3 0:0: send
1736032962.644704 cmd_parse_build_commands 0:3 0:1: -X
1736032962.644705 cmd_parse_build_commands 0:3 0:2: other-end
1736032962.644706 cmd_parse_build_commands 0:0: send
1736032962.644707 cmd_parse_build_commands 0:1: -X
1736032962.644708 cmd_parse_build_commands 0:2: other-end
1736032962.644710 args_parse_flags: next -X
1736032962.644710 args_parse_flags: -X
1736032962.644711 args_parse_flags: next other-end
1736032962.644712 args_parse: flags end at 2 of 3
1736032962.644713 args_parse: 2 = other-end (type STRING)
1736032962.644715 cmd_parse_build_commands: send-keys -X other-end
1736032962.644716 args_parse_flags: next -Tcopy-mode-vi
1736032962.644717 args_parse_flag_argument: -T = copy-mode-vi
1736032962.644718 args_parse_flags: next o
1736032962.644719 args_parse: flags end at 2 of 4
1736032962.644720 args_parse: 2 = o (type STRING)
1736032962.644722 args_parse: 3 = send-keys -X other-end (type COMMANDS)
1736032962.644725 cmd_parse_build_commands: bind-key -T copy-mode-vi o { send-keys -X other-end }
1736032962.644726 cmdq_get_command: [bind-key/0x2c2212b0] group 2484
1736032962.644727 cmdq_append <global>: [bind-key/0x2c2212b0]
1736032962.644728 yylex_token: end at WS
1736032962.644729 yylex_token: bind
1736032962.644730 yylex_token: end at WS
1736032962.644731 yylex_token: -Tcopy-mode-vi
1736032962.644731 yylex_token: end at WS
1736032962.644732 yylex_token: q
1736032962.644733 yylex_token: end at WS
1736032962.644734 yylex_token: send
1736032962.644735 yylex_token: end at WS
1736032962.644735 yylex_token: -X
1736032962.644736 yylex_token: end at WS
1736032962.644737 yylex_token: cancel
1736032962.644738 cmd_parse_build_commands 0:0: bind
1736032962.644739 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1736032962.644740 cmd_parse_build_commands 0:2: q
1736032962.644741 cmd_parse_build_commands 0:3 0:0: send
1736032962.644742 cmd_parse_build_commands 0:3 0:1: -X
1736032962.644743 cmd_parse_build_commands 0:3 0:2: cancel
1736032962.644744 cmd_parse_build_commands 0:0: send
1736032962.644745 cmd_parse_build_commands 0:1: -X
1736032962.644746 cmd_parse_build_commands 0:2: cancel
1736032962.644748 args_parse_flags: next -X
1736032962.644749 args_parse_flags: -X
1736032962.644750 args_parse_flags: next cancel
1736032962.644750 args_parse: flags end at 2 of 3
1736032962.644751 args_parse: 2 = cancel (type STRING)
1736032962.644753 cmd_parse_build_commands: send-keys -X cancel
1736032962.644754 args_parse_flags: next -Tcopy-mode-vi
1736032962.644755 args_parse_flag_argument: -T = copy-mode-vi
1736032962.644756 args_parse_flags: next q
1736032962.644757 args_parse: flags end at 2 of 4
1736032962.644758 args_parse: 2 = q (type STRING)
1736032962.644760 args_parse: 3 = send-keys -X cancel (type COMMANDS)
1736032962.644763 cmd_parse_build_commands: bind-key -T copy-mode-vi q { send-keys -X cancel }
1736032962.644764 cmdq_get_command: [bind-key/0x2c2217a0] group 2492
1736032962.644765 cmdq_append <global>: [bind-key/0x2c2217a0]
1736032962.644766 yylex_token: end at WS
1736032962.644767 yylex_token: bind
1736032962.644768 yylex_token: end at WS
1736032962.644777 yylex_token: -Tcopy-mode-vi
1736032962.644777 yylex_token: end at WS
1736032962.644778 yylex_token: r
1736032962.644779 yylex_token: end at WS
1736032962.644780 yylex_token: send
1736032962.644782 yylex_token: end at WS
1736032962.644783 yylex_token: -X
1736032962.644784 yylex_token: end at WS
1736032962.644785 yylex_token: refresh-from-pane
1736032962.644786 cmd_parse_build_commands 0:0: bind
1736032962.644787 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1736032962.644788 cmd_parse_build_commands 0:2: r
1736032962.644789 cmd_parse_build_commands 0:3 0:0: send
1736032962.644790 cmd_parse_build_commands 0:3 0:1: -X
1736032962.644791 cmd_parse_build_commands 0:3 0:2: refresh-from-pane
1736032962.644793 cmd_parse_build_commands 0:0: send
1736032962.644794 cmd_parse_build_commands 0:1: -X
1736032962.644795 cmd_parse_build_commands 0:2: refresh-from-pane
1736032962.644796 args_parse_flags: next -X
1736032962.644797 args_parse_flags: -X
1736032962.644798 args_parse_flags: next refresh-from-pane
1736032962.644799 args_parse: flags end at 2 of 3
1736032962.644800 args_parse: 2 = refresh-from-pane (type STRING)
1736032962.644802 cmd_parse_build_commands: send-keys -X refresh-from-pane
1736032962.644803 args_parse_flags: next -Tcopy-mode-vi
1736032962.644804 args_parse_flag_argument: -T = copy-mode-vi
1736032962.644805 args_parse_flags: next r
1736032962.644806 args_parse: flags end at 2 of 4
1736032962.644807 args_parse: 2 = r (type STRING)
1736032962.644809 args_parse: 3 = send-keys -X refresh-from-pane (type COMMANDS)
1736032962.644812 cmd_parse_build_commands: bind-key -T copy-mode-vi r { send-keys -X refresh-from-pane }
1736032962.644813 cmdq_get_command: [bind-key/0x2c221a90] group 2500
1736032962.644814 cmdq_append <global>: [bind-key/0x2c221a90]
1736032962.644815 yylex_token: end at WS
1736032962.644816 yylex_token: bind
1736032962.644817 yylex_token: end at WS
1736032962.644818 yylex_token: -Tcopy-mode-vi
1736032962.644819 yylex_token: end at WS
1736032962.644820 yylex_token: t
1736032962.644821 yylex_token: end at WS
1736032962.644822 yylex_token: command-prompt
1736032962.644823 yylex_token: end at WS
1736032962.644824 yylex_token: -1p(jump to forward)
1736032962.644825 yylex_token: end at WS
1736032962.644825 yylex_token: send
1736032962.644826 yylex_token: end at WS
1736032962.644827 yylex_token: -X
1736032962.644828 yylex_token: end at WS
1736032962.644829 yylex_token: jump-to-forward
1736032962.644830 yylex_token: end at WS
1736032962.644831 yylex_token: %%
1736032962.644832 cmd_parse_build_commands 0:0: bind
1736032962.644833 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1736032962.644834 cmd_parse_build_commands 0:2: t
1736032962.644835 cmd_parse_build_commands 0:3 0:0: command-prompt
1736032962.644837 cmd_parse_build_commands 0:3 0:1: -1p(jump to forward)
1736032962.644838 cmd_parse_build_commands 0:3 0:2 0:0: send
1736032962.644839 cmd_parse_build_commands 0:3 0:2 0:1: -X
1736032962.644840 cmd_parse_build_commands 0:3 0:2 0:2: jump-to-forward
1736032962.644841 cmd_parse_build_commands 0:3 0:2 0:3: %%
1736032962.644842 cmd_parse_build_commands 0:0: command-prompt
1736032962.644844 cmd_parse_build_commands 0:1: -1p(jump to forward)
1736032962.644845 cmd_parse_build_commands 0:2 0:0: send
1736032962.644845 cmd_parse_build_commands 0:2 0:1: -X
1736032962.644846 cmd_parse_build_commands 0:2 0:2: jump-to-forward
1736032962.644847 cmd_parse_build_commands 0:2 0:3: %%
1736032962.644849 cmd_parse_build_commands 0:0: send
1736032962.644850 cmd_parse_build_commands 0:1: -X
1736032962.644851 cmd_parse_build_commands 0:2: jump-to-forward
1736032962.644852 cmd_parse_build_commands 0:3: %%
1736032962.644854 args_parse_flags: next -X
1736032962.644854 args_parse_flags: -X
1736032962.644870 args_parse_flags: next jump-to-forward
1736032962.644871 args_parse: flags end at 2 of 4
1736032962.644872 args_parse: 2 = jump-to-forward (type STRING)
1736032962.644873 args_parse: 3 = %% (type STRING)
1736032962.644876 cmd_parse_build_commands: send-keys -X jump-to-forward "%%"
1736032962.644877 args_parse_flags: next -1p(jump to forward)
1736032962.644879 args_parse_flags: -1
1736032962.644880 args_parse_flag_argument: -p = (jump to forward)
1736032962.644881 args_parse: flags end at 2 of 3
1736032962.644884 args_parse: 2 = send-keys -X jump-to-forward "%%" (type COMMANDS)
1736032962.644887 cmd_parse_build_commands: command-prompt -1 -p "(jump to forward)" { send-keys -X jump-to-forward "%%" }
1736032962.644888 args_parse_flags: next -Tcopy-mode-vi
1736032962.644889 args_parse_flag_argument: -T = copy-mode-vi
1736032962.644890 args_parse_flags: next t
1736032962.644891 args_parse: flags end at 2 of 4
1736032962.644892 args_parse: 2 = t (type STRING)
1736032962.644895 args_parse: 3 = command-prompt -1 -p "(jump to forward)" { send-keys -X jump-to-forward "%%" } (type COMMANDS)
1736032962.644901 cmd_parse_build_commands: bind-key -T copy-mode-vi t { command-prompt -1 -p "(jump to forward)" { send-keys -X jump-to-forward "%%" } }
1736032962.644903 cmdq_get_command: [bind-key/0x2c221f60] group 2508
1736032962.644904 cmdq_append <global>: [bind-key/0x2c221f60]
1736032962.644905 yylex_token: end at WS
1736032962.644905 yylex_token: bind
1736032962.644907 yylex_token: end at WS
1736032962.644907 yylex_token: -Tcopy-mode-vi
1736032962.644908 yylex_token: end at WS
1736032962.644909 yylex_token: v
1736032962.644910 yylex_token: end at WS
1736032962.644911 yylex_token: send
1736032962.644912 yylex_token: end at WS
1736032962.644912 yylex_token: -X
1736032962.644913 yylex_token: end at WS
1736032962.644914 yylex_token: rectangle-toggle
1736032962.644915 cmd_parse_build_commands 0:0: bind
1736032962.644916 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1736032962.644917 cmd_parse_build_commands 0:2: v
1736032962.644918 cmd_parse_build_commands 0:3 0:0: send
1736032962.644919 cmd_parse_build_commands 0:3 0:1: -X
1736032962.644920 cmd_parse_build_commands 0:3 0:2: rectangle-toggle
1736032962.644922 cmd_parse_build_commands 0:0: send
1736032962.644923 cmd_parse_build_commands 0:1: -X
1736032962.644924 cmd_parse_build_commands 0:2: rectangle-toggle
1736032962.644925 args_parse_flags: next -X
1736032962.644926 args_parse_flags: -X
1736032962.644927 args_parse_flags: next rectangle-toggle
1736032962.644928 args_parse: flags end at 2 of 3
1736032962.644929 args_parse: 2 = rectangle-toggle (type STRING)
1736032962.644931 cmd_parse_build_commands: send-keys -X rectangle-toggle
1736032962.644932 args_parse_flags: next -Tcopy-mode-vi
1736032962.644933 args_parse_flag_argument: -T = copy-mode-vi
1736032962.644934 args_parse_flags: next v
